"departamento","municipio","codigo_dane","armas_medios","fecha_hecho","genero","grupo_etario","tipo_de_hurto","cantidad"
"CÓRDOBA","Montelíbano","23466000","NO REPORTADO","16/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"HUILA","Rivera","41615000","NO REPORTADO","10/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","18/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","17/10/2013","MASCULINO","MENORES","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CALDAS","Manizales (CT)","17001000","NO REPORTADO","20/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","25/09/2013","MASCULINO","MENORES","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","16/10/2013","MASCULINO","MENORES","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","16/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CÓRDOBA","Ayapel","23068000","NO REPORTADO","01/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","28/05/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"NORTE DE SANTANDER","Cúcuta (CT)","54001000","NO REPORTADO","20/01/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","12/06/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","02/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CÓRDOBA","Buenavista","23079000","NO REPORTADO","20/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","26/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"META","Acacías","50006000","NO REPORTADO","14/02/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ATLÁNTICO","Barranquilla (CT)","08001000","NO REPORTADO","28/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"BOYACÁ","Puerto Boyacá","15572000","NO REPORTADO","17/04/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","12/09/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOYACÁ","Puerto Boyacá","15572000","NO REPORTADO","13/06/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"CUNDINAMARCA","Soacha","25754000","NO REPORTADO","07/02/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"PUTUMAYO","Mocoa (CT)","86001000","NO REPORTADO","25/10/2013","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","25/07/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Caldas","05129000","NO REPORTADO","14/02/2013","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CÓRDOBA","Cotorra","23300000","NO REPORTADO","01/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","11/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","19/10/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"BOGOTA","Bogotá D.C. (CT)","11001000","NO REPORTADO","24/03/2014","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","02/03/2013","MASCULINO","MENORES","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CÓRDOBA","Montelíbano","23466000","NO REPORTADO","05/03/2014","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","16/01/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"NORTE DE SANTANDER","Villa del Rosario","54874000","NO REPORTADO","09/11/2013","FEMENINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"CUNDINAMARCA","Chocontá","25183000","NO REPORTADO","14/01/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
"ANTIOQUIA","Itagui","05360000","NO REPORTADO","30/08/2013","MASCULINO","ADULTOS","ARTÍCULO 239. HURTO AUTOMOTORES","1"
"ANTIOQUIA","Medellín (CT)","05001000","NO REPORTADO","17/03/2014","MASCULINO","ADOLESCENTES","ARTÍCULO 239. HURTO MOTOCICLETAS","1"
