fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,fecha,tipo
2003-01-01T00:00:00.000,86,PUTUMAYO,86568,PUERTO ASIS,URBANA,MASCULINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,86,PUTUMAYO,86571,PUERTO GUZMAN,RURAL,MASCULINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,86,PUTUMAYO,86571,PUERTO GUZMAN,RURAL,MASCULINO,ARMA DE FUEGO,ATACADOS POR SUBVERSION,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,66,RISARALDA,66001,PEREIRA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,66,RISARALDA,66001,PEREIRA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,66,RISARALDA,66594,QUINCHIA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,68,SANTANDER,68081,BARRANCABERMEJA,URBANA,FEMENINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,68,SANTANDER,68001,BUCARAMANGA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,68,SANTANDER,68001,BUCARAMANGA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,68,SANTANDER,68276,FLORIDABLANCA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,68,SANTANDER,68307,GIRON,URBANA,MASCULINO,CONTUNDENTES,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,73,TOLIMA,73124,CAJAMARCA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,73,TOLIMA,73001,IBAGUE,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,73,TOLIMA,73483,NATAGAIMA,URBANA,MASCULINO,CONTUNDENTES,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,73,TOLIMA,73555,PLANADAS,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76109,BUENAVENTURA,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76109,BUENAVENTURA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA DE FUEGO,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA DE FUEGO,ATRACO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76243,EL AGUILA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76243,EL AGUILA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76318,GUACARI,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76364,JAMUNDI,RURAL,MASCULINO,ARMA BLANCA / CORTOPUNZANTE,RIÑAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76520,PALMIRA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76823,TORO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-01T00:00:00.000,76,VALLE DEL CAUCA,76834,TULUA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-01,homicidio
2003-01-02T00:00:00.000,5,ANTIOQUIA,5079,BARBOSA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
2003-01-02T00:00:00.000,5,ANTIOQUIA,5001,MEDELLIN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,homicidio
