departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,cantidad,delito,fecha,tipo
SUCRE,Santiago de Tolú,70820000,NO REPORTADO,06/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-06-01,denuncia
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-12-01,denuncia
ATLÁNTICO,Soledad,8758000,NO REPORTADO,03/02/2010,FEMENINO,MENORES,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-03-02,denuncia
ATLÁNTICO,Soledad,8758000,NO REPORTADO,03/02/2010,MASCULINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-03-02,denuncia
VALLE,Cali (CT),76001000,NO REPORTADO,01/01/2010,MASCULINO,ADOLESCENTES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-01-01,denuncia
ATLÁNTICO,Baranoa,8078001,NO REPORTADO,10/01/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-10-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,06/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210 A. ACOSO SEXUAL,2010-06-02,denuncia
HUILA,Pitalito,41551000,NO REPORTADO,05/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-05-02,denuncia
TOLIMA,Melgar,73449000,NO REPORTADO,03/02/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-03-02,denuncia
META,Villavicencio (CT),50001000,NO REPORTADO,10/01/2010,FEMENINO,MENORES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-10-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-01-01,denuncia
VALLE,Dagua,76233000,NO REPORTADO,11/02/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-11-02,denuncia
GUAJIRA,Dibulla,44090000,NO REPORTADO,08/02/2010,MASCULINO,MENORES,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-08-02,denuncia
MAGDALENA,Zona Bananera,47980008,NO REPORTADO,04/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-04-02,denuncia
MAGDALENA,Santa Marta (CT),47001000,NO REPORTADO,03/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL VIOLENTO (CIRCUNSTANCIAS AGRAVACIÓN),2010-03-01,denuncia
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,05/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 218. PORNOGRAFÍA CON MENORES,2010-05-02,denuncia
SUCRE,Coloso,70204000,NO REPORTADO,12/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-12-01,denuncia
VALLE,Cartago,76147000,NO REPORTADO,10/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-10-02,denuncia
SUCRE,San Marcos,70708000,NO REPORTADO,03/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-03-01,denuncia
BOYACÁ,Duitama,15238000,NO REPORTADO,09/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-09-01,denuncia
BOLÍVAR,Cartagena (CT),13001000,NO REPORTADO,08/02/2010,MASCULINO,ADULTOS,1,ARTÍCULO 205. ACCESO CARNAL VIOLENTO,2010-08-02,denuncia
META,Villavicencio (CT),50001000,NO REPORTADO,06/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-06-03,denuncia
VALLE,Alcalá,76020000,NO REPORTADO,01/03/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-01-03,denuncia
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,11/03/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-11-03,denuncia
SANTANDER,Charalá,68167000,NO REPORTADO,12/02/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-12-02,denuncia
CAQUETÁ,El Paujil,18256000,NO REPORTADO,10/01/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 213. INDUCCIÓN A LA PROSTITUCIÓN,2010-10-01,denuncia
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,03/02/2010,MASCULINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-03-02,denuncia
TOLIMA,Ortega,73504000,NO REPORTADO,09/02/2010,FEMENINO,MENORES,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-09-02,denuncia
CUNDINAMARCA,Facatativá,25269003,NO REPORTADO,07/02/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 211. ACTOS SEXUALES CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS DE AGRAVACIÓN),2010-07-02,denuncia
GUAJIRA,Manaure,44560000,NO REPORTADO,07/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 209. ACTOS SEXUALES CON MENOR DE 14 AÑOS,2010-07-01,denuncia
SANTANDER,California,68132000,NO REPORTADO,05/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 206. ACTO SEXUAL VIOLENTO,2010-05-02,denuncia
ATLÁNTICO,Soledad,8758000,NO REPORTADO,01/01/2010,FEMENINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR (CIRCUNSTANCIAS AGRAVACIÓN,2010-01-01,denuncia
HUILA,Neiva (CT),41001000,NO REPORTADO,07/03/2010,FEMENINO,ADOLESCENTES,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-07-03,denuncia
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,01/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 210. ACCESO CARNAL O ACTO SEXUAL ABUSIVO CON INCAPAZ DE RESISTIR,2010-01-02,denuncia
ANTIOQUIA,Apartadó,5045000,NO REPORTADO,05/01/2010,MASCULINO,ADULTOS,1,ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS,2010-05-01,denuncia
VALLE,Palmira,76520000,NO REPORTADO,10/02/2010,FEMENINO,ADULTOS,1,ARTÍCULO 207. ACCESO CARNAL O ACTO SEXUAL EN PERSONA PUESTA EN INCAPACIDAD DE RESISTIR,2010-10-02,denuncia
VALLE,Cali (CT),76001000,NO REPORTADO,07/03/2010,MASCULINO,ADULTOS,1,ARTÍCULO 211. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS (CIRCUNSTANCIAS AGRAVACIÓN),2010-07-03,denuncia
