departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,12/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-12-11,hurto
ANTIOQUIA,Urrao,5847000,NO REPORTADO,07/05/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-07-05,hurto
CASANARE,Maní,85139000,NO REPORTADO,04/10/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-10,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,12/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-12-11,hurto
SANTANDER,Matanza,68444000,NO REPORTADO,07/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-11,hurto
CAUCA,Popayán (CT),19001000,NO REPORTADO,03/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-11,hurto
CAUCA,Popayán (CT),19001000,NO REPORTADO,08/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-08-11,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,11/06/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-11-06,hurto
ANTIOQUIA,Frontino,5284006,NO REPORTADO,04/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-04-07,hurto
MAGDALENA,Fundación,47288000,NO REPORTADO,10/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-11,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,07/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2014-07-12,hurto
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,04/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-04-07,hurto
BOGOTA,Bogotá D.C. (CT),11001000,NO REPORTADO,08/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-08-11,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,07/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-11,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,04/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-12,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,06/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-06-12,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,10/12/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-12,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,11/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-11-07,hurto
CAUCA,Villa Rica,19845000,NO REPORTADO,09/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-09-01,hurto
AMAZONAS,Leticia (CT),91001000,NO REPORTADO,04/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-04-10,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,09/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2015-09-07,hurto
CAUCA,Santander de Quilichao,19698000,NO REPORTADO,12/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-12-07,hurto
CAUCA,Villa Rica,19845000,NO REPORTADO,12/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-12-07,hurto
CALDAS,Chinchiná,17174000,NO REPORTADO,09/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-09-10,hurto
GUAJIRA,Riohacha (CT),44001000,NO REPORTADO,12/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-12-12,hurto
ATLÁNTICO,Barranquilla (CT),8001000,NO REPORTADO,06/07/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-06-07,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,12/12/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-12-12,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,11/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-11-12,hurto
ANTIOQUIA,Carepa,5147000,NO REPORTADO,01/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-01-12,hurto
ANTIOQUIA,Carepa,5147000,NO REPORTADO,07/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-07-12,hurto
ANTIOQUIA,Chigorodó,5172000,NO REPORTADO,03/12/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-12,hurto
META,Restrepo,50606000,NO REPORTADO,02/01/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-02-01,hurto
CAQUETÁ,Florencia (CT),18001000,NO REPORTADO,10/11/2014,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-11,hurto
GUAJIRA,Riohacha (CT),44001000,NO REPORTADO,09/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-09-12,hurto
QUINDÍO,Armenia (CT),63001000,NO REPORTADO,10/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-11,hurto
AMAZONAS,Leticia (CT),91001000,NO REPORTADO,10/10/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-10-10,hurto
ANTIOQUIA,Sabaneta,5631000,NO REPORTADO,03/11/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-11,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,NO REPORTADO,06/04/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-06-04,hurto
ANTIOQUIA,Medellín (CT),5001000,NO REPORTADO,03/04/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-03-04,hurto
RISARALDA,Belén de Umbría,66088000,NO REPORTADO,08/03/2015,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-08-03,hurto
META,Restrepo,50606000,NO REPORTADO,08/03/2015,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2015-08-03,hurto
MAGDALENA,Plato,47555000,NO REPORTADO,03/12/2014,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2014-03-12,hurto
