departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,fecha,tipo
HUILA,Pitalito,41551000,ARMA BLANCA / CORTOPUNZANTE,01/11/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-01-11,hurto
BOLÍVAR,Santa Rosa,13683000,ARMA BLANCA / CORTOPUNZANTE,03/09/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-03-09,hurto
ANTIOQUIA,Bello,5088000,ARMA BLANCA / CORTOPUNZANTE,09/11/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-09-11,hurto
ANTIOQUIA,Envigado,5266000,ARMA BLANCA / CORTOPUNZANTE,06/10/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-06-10,hurto
META,Villavicencio (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,01/11/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-01-11,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-04-09,hurto
CASANARE,Maní,85139000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,07/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-07,hurto
HUILA,Neiva (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,07/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-10,hurto
HUILA,Pitalito,41551000,ARMA BLANCA / CORTOPUNZANTE,07/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-10,hurto
META,Villavicencio (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,11/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-09,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,12/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-10,hurto
META,Villavicencio (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,08/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-08,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,03/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-10,hurto
VALLE,Cali (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,07/08/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-08,hurto
ANTIOQUIA,Turbo,5837000,ARMA BLANCA / CORTOPUNZANTE,09/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-02,hurto
SANTANDER,Floridablanca,68276000,ARMA BLANCA / CORTOPUNZANTE,04/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-07,hurto
VALLE,El Cerrito,76248000,ARMA BLANCA / CORTOPUNZANTE,10/08/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-08,hurto
CHOCÓ,Quibdó (CT),27001000,ARMA BLANCA / CORTOPUNZANTE,10/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-02,hurto
CAUCA,Timbío,19807000,ARMA BLANCA / CORTOPUNZANTE,10/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-09,hurto
BOLÍVAR,Cartagena (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,12/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-09,hurto
ANTIOQUIA,Medellín (CT),5001014,ARMA BLANCA / CORTOPUNZANTE,04/09/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-04-09,hurto
NARIÑO,Ipiales,52356000,ARMA BLANCA / CORTOPUNZANTE,07/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-06,hurto
META,Villavicencio (CT),50001000,ARMA BLANCA / CORTOPUNZANTE,11/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-08,hurto
ANTIOQUIA,Rionegro,5615000,ARMA BLANCA / CORTOPUNZANTE,10/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-10-05,hurto
VALLE,Cali (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,08/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-10,hurto
HUILA,Neiva (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,11/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-10,hurto
VALLE,Tuluá,76834000,ARMA BLANCA / CORTOPUNZANTE,06/03/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-03,hurto
HUILA,Neiva (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,05/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-09,hurto
VALLE,Cali (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,04/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-04-06,hurto
SANTANDER,Floridablanca,68276000,ARMA BLANCA / CORTOPUNZANTE,03/04/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-04,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,07/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-04,hurto
SANTANDER,Floridablanca,68276000,ARMA BLANCA / CORTOPUNZANTE,09/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-07,hurto
ANTIOQUIA,Bello,5088000,ARMA BLANCA / CORTOPUNZANTE,10/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-10-08,hurto
CHOCÓ,Quibdó (CT),27001000,ARMA BLANCA / CORTOPUNZANTE,07/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-07,hurto
ANTIOQUIA,Turbo,5837000,ARMA BLANCA / CORTOPUNZANTE,03/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-03,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,11/05/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-05,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,07/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-09,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,06/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-09,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,06/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-04,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,05/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-05-04,hurto
META,Acacías,50006000,ARMA BLANCA / CORTOPUNZANTE,12/01/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-01,hurto
BOLÍVAR,Cartagena (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,10/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-02,hurto
ATLÁNTICO,Sabanalarga,8638000,ARMA BLANCA / CORTOPUNZANTE,04/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-03,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,07/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-07-07,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,02/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-09,hurto
BOLÍVAR,Mahates,13433000,ARMA BLANCA / CORTOPUNZANTE,06/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-08,hurto
CALDAS,Marmato,17442000,ARMA BLANCA / CORTOPUNZANTE,09/03/2021,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-03,hurto
BOLÍVAR,Magangué,13430000,ARMA BLANCA / CORTOPUNZANTE,08/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-09,hurto
TOLIMA,Chaparral,73168000,ARMA BLANCA / CORTOPUNZANTE,07/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-03,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,10/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-09,hurto
CESAR,Bosconia,20060000,ARMA BLANCA / CORTOPUNZANTE,02/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-07,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
CÓRDOBA,Sahagún,23660000,ARMA BLANCA / CORTOPUNZANTE,08/09/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-09,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
HUILA,Algeciras,41020000,ARMA BLANCA / CORTOPUNZANTE,09/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-08,hurto
ANTIOQUIA,Copacabana,5212000,ARMA BLANCA / CORTOPUNZANTE,09/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-09-09,hurto
HUILA,Pitalito,41551001,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
ANTIOQUIA,Bello,5088000,ARMA BLANCA / CORTOPUNZANTE,01/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-01-10,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,04/06/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-06,hurto
SUCRE,San Juan de Betulia,70702001,ARMA BLANCA / CORTOPUNZANTE,05/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-02,hurto
BOLÍVAR,Cartagena (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,02/04/2021,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-04,hurto
ANTIOQUIA,Itagui,5360000,ARMA BLANCA / CORTOPUNZANTE,02/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-02-09,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,09/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-06,hurto
RISARALDA,Dosquebradas,66170000,ARMA BLANCA / CORTOPUNZANTE,01/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-01-10,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,04/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-04-07,hurto
SANTANDER,Floridablanca,68276000,ARMA BLANCA / CORTOPUNZANTE,12/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-06,hurto
BOLÍVAR,Arjona,13052000,ARMA BLANCA / CORTOPUNZANTE,02/06/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-06,hurto
HUILA,Neiva (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,09/04/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-04,hurto
CHOCÓ,Quibdó (CT),27001000,ARMA BLANCA / CORTOPUNZANTE,09/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-09,hurto
MAGDALENA,Ciénaga,47189000,ARMA BLANCA / CORTOPUNZANTE,01/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-01-05,hurto
CESAR,Valledupar (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,11/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-06,hurto
VALLE,Candelaria,76130000,ARMA BLANCA / CORTOPUNZANTE,09/07/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-07,hurto
ATLÁNTICO,Barranquilla (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,12/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-09,hurto
HUILA,Pitalito,41551000,ARMA BLANCA / CORTOPUNZANTE,03/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-04,hurto
CAQUETÁ,Florencia (CT),18001000,ARMA BLANCA / CORTOPUNZANTE,09/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-04,hurto
CESAR,La Jagua de Ibirico,20400000,ARMA BLANCA / CORTOPUNZANTE,10/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-02,hurto
BOLÍVAR,Calamar,13140000,ARMA BLANCA / CORTOPUNZANTE,04/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-07,hurto
NARIÑO,Pasto (CT),52001000,ARMA BLANCA / CORTOPUNZANTE,08/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-04,hurto
TOLIMA,Ibagué (CT),73001000,ARMA BLANCA / CORTOPUNZANTE,01/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-01-10,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,03/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-05,hurto
QUINDÍO,Armenia (CT),63001000,ARMA BLANCA / CORTOPUNZANTE,09/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-05,hurto
NARIÑO,San Andres de Tumaco,52835000,ARMA BLANCA / CORTOPUNZANTE,10/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-05,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,12/05/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-05,hurto
ANTIOQUIA,Bello,5088000,ARMA BLANCA / CORTOPUNZANTE,12/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-07,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,07/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-07-05,hurto
ATLÁNTICO,Barranquilla (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,10/01/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-10-01,hurto
HUILA,Saladoblanco,41660000,ARMA BLANCA / CORTOPUNZANTE,08/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-02,hurto
HUILA,Pitalito,41551000,ARMA BLANCA / CORTOPUNZANTE,03/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-08,hurto
SUCRE,Sincelejo (CT),70001000,ARMA BLANCA / CORTOPUNZANTE,08/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-03,hurto
ATLÁNTICO,Barranquilla (CT),8001000,ARMA BLANCA / CORTOPUNZANTE,11/10/2021,MASCULINO,ADOLESCENTES,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-10,hurto
AMAZONAS,Leticia (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,10/04/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-04,hurto
VALLE,Cali (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,12/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-06,hurto
QUINDÍO,Quimbaya,63594000,ARMA BLANCA / CORTOPUNZANTE,06/03/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-03,hurto
ATLÁNTICO,Sabanalarga,8638000,ARMA BLANCA / CORTOPUNZANTE,02/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-04,hurto
NARIÑO,Gualmatán,52323000,ARMA BLANCA / CORTOPUNZANTE,02/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-02-06,hurto
CESAR,Aguachica,20011000,ARMA BLANCA / CORTOPUNZANTE,05/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-03,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,12/09/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2020-12-09,hurto
META,Acacías,50006000,ARMA BLANCA / CORTOPUNZANTE,02/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-02-03,hurto
MAGDALENA,Santa Marta (CT),47001000,ARMA BLANCA / CORTOPUNZANTE,01/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-01-04,hurto
MAGDALENA,Santa Marta (CT),47001000,ARMA BLANCA / CORTOPUNZANTE,09/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-04,hurto
CUNDINAMARCA,Chía,25175000,ARMA BLANCA / CORTOPUNZANTE,03/08/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-03-08,hurto
SUCRE,San Luis de Sincé,70742000,ARMA BLANCA / CORTOPUNZANTE,04/10/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-10,hurto
ANTIOQUIA,Turbo,5837000,ARMA BLANCA / CORTOPUNZANTE,06/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-03,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,12/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-03,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,12/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-12-07,hurto
SANTANDER,Barrancabermeja,68081000,ARMA BLANCA / CORTOPUNZANTE,08/09/2020,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-08-09,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,09/03/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-03,hurto
CESAR,Valledupar (CT),20001000,ARMA BLANCA / CORTOPUNZANTE,08/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-05,hurto
BOLÍVAR,Cartagena (CT),13001009,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-05-05,hurto
VALLE,Cali (CT),76001000,ARMA BLANCA / CORTOPUNZANTE,11/02/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-02,hurto
ANTIOQUIA,Apartadó,5045000,ARMA BLANCA / CORTOPUNZANTE,11/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-02,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-07,hurto
BOLÍVAR,San Cristóbal,13620000,ARMA BLANCA / CORTOPUNZANTE,05/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-07,hurto
CALDAS,Marmato,17442000,ARMA BLANCA / CORTOPUNZANTE,06/02/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-06-02,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,10/10/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-10-10,hurto
CAUCA,Piendamó,19548000,ARMA BLANCA / CORTOPUNZANTE,11/04/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-04,hurto
AMAZONAS,Leticia (CT),91001000,ARMA BLANCA / CORTOPUNZANTE,12/12/2020,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2020-12-12,hurto
BOLÍVAR,Cartagena (CT),13001000,ARMA BLANCA / CORTOPUNZANTE,12/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-06,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,07/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-06,hurto
TOLIMA,San Luis,73678000,ARMA BLANCA / CORTOPUNZANTE,07/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-03,hurto
VALLE,Guacarí,76318000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-05-05,hurto
CAUCA,Popayán (CT),19001000,ARMA BLANCA / CORTOPUNZANTE,01/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-01-07,hurto
HUILA,Neiva (CT),41001000,ARMA BLANCA / CORTOPUNZANTE,03/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-03-03,hurto
SANTANDER,Bucaramanga (CT),68001000,ARMA BLANCA / CORTOPUNZANTE,09/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-07,hurto
NORTE DE SANTANDER,Ocaña,54498000,ARMA BLANCA / CORTOPUNZANTE,07/07/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-07-07,hurto
BOLÍVAR,Arjona,13052000,ARMA BLANCA / CORTOPUNZANTE,12/06/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-12-06,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,08/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-04,hurto
NORTE DE SANTANDER,Cúcuta (CT),54001000,ARMA BLANCA / CORTOPUNZANTE,04/06/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-06,hurto
SANTANDER,Girón,68307000,ARMA BLANCA / CORTOPUNZANTE,04/09/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-09,hurto
VALLE,Tuluá,76834000,ARMA BLANCA / CORTOPUNZANTE,11/03/2021,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-11-03,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,10/03/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-10-03,hurto
ANTIOQUIA,Medellín (CT),5001000,ARMA BLANCA / CORTOPUNZANTE,05/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2021-05-05,hurto
BOGOTA,Bogotá D.C. (CT),11001000,ARMA BLANCA / CORTOPUNZANTE,04/05/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-04-05,hurto
ANTIOQUIA,Apartadó,5045000,ARMA BLANCA / CORTOPUNZANTE,09/09/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-09-09,hurto
CÓRDOBA,Tierralta,23807000,ARMA BLANCA / CORTOPUNZANTE,08/04/2021,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2021-08-04,hurto
