fecha_hecho,cod_depto,departamento,cod_muni,municipio,zona,sexo,arma_medio,_modalidad_presunta,spoa_caracterizacion,cantidad,FECHA,ANO,MES
2003-01-02,54,NORTE DE SANTANDER,54261,EL ZULIA,RURAL,MASCULINO,ARMA DE FUEGO,SICARIATO,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,54,NORTE DE SANTANDER,54810,TIBU,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,86,PUTUMAYO,86757,SAN MIGUEL,URBANA,MASCULINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,86,PUTUMAYO,86757,SAN MIGUEL,URBANA,FEMENINO,ARMA DE FUEGO,ATACADOS POR AUTODEFENSAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,66,RISARALDA,66682,SANTA ROSA DE CABAL,URBANA,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,70,SUCRE,70204,COLOSO,URBANA,FEMENINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,70,SUCRE,70001,SINCELEJO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,73,TOLIMA,73347,HERVEO,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,76,VALLE DEL CAUCA,76109,BUENAVENTURA,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-02,2003,1
2003-01-02,76,VALLE DEL CAUCA,76001,CALI,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,2,2003-01-02,2003,1
2003-01-03,05,ANTIOQUIA,05034,ANDES,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05197,COCORNA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05266,ENVIGADO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05440,MARINILLA,RURAL,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05001,MEDELLIN,URBANA,MASCULINO,ARMA DE FUEGO,RIÑA O CONFLICTO ENTRE PANDILLAS,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05001,MEDELLIN,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,3,2003-01-03,2003,1
2003-01-03,05,ANTIOQUIA,05579,PUERTO BERRIO,URBANA,MASCULINO,ARMA DE FUEGO,NO REPORTADA,HOMICIDIO INTENCIONAL O CON DOLO,1,2003-01-03,2003,1
