departamento,municipio,codigo_dane,armas_medios,fecha_hecho,genero,grupo_etario,tipo_de_hurto,cantidad,FECHA,ANO,MES
META,VILLAVICENCIO,50001000,ARMA BLANCA / CORTOPUNZANTE,03/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-03,2024,3
VALLE,PALMIRA,76520000,ARMA BLANCA / CORTOPUNZANTE,03/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-03,2024,3
ANTIOQUIA,MEDELLÍN,05001000,ARMA BLANCA / CORTOPUNZANTE,04/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO AUTOMOTORES,1,2024-03-04,2024,3
META,PUERTO LÓPEZ,50573000,ARMA BLANCA / CORTOPUNZANTE,04/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-04,2024,3
CASANARE,YOPAL,85001000,ARMA BLANCA / CORTOPUNZANTE,05/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-05,2024,3
CESAR,AGUACHICA,20011000,ARMA BLANCA / CORTOPUNZANTE,05/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-05,2024,3
CESAR,GONZÁLEZ,20310000,ARMA BLANCA / CORTOPUNZANTE,05/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-05,2024,3
CHOCÓ,QUIBDÓ,27001000,ARMA BLANCA / CORTOPUNZANTE,05/03/2024,FEMENINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-05,2024,3
VALLE,CALI,76001000,ARMA BLANCA / CORTOPUNZANTE,05/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-05,2024,3
BOGOTA,BOGOTÁ D.C.,11001000,NO REPORTADO,06/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-06,2024,3
CAUCA,PIENDAMÓ,19548000,ARMA BLANCA / CORTOPUNZANTE,06/03/2024,MASCULINO,ADULTOS,ARTÍCULO 239. HURTO MOTOCICLETAS,1,2024-03-06,2024,3
